BonePb,dieldrin,dde,tde,pcb105,pcb118,pcb128,pcb138,pcb153,pcb156,pcb170,pcb180,pcb187,hcbenz,Age,Sex,Year,weight,length,xcoord,ycoord,region,country
6.016,466,2840,409,,26.8,,71.2,79.2,10.9,,37,,19.5,Adult,Female,1992,1.34,680,304000,228000,EA Wales,Wales
4.406,42.7,10.8,2.7,,4.5,,11.9,19.9,,,14,,2.9,Adult,Male,1992,6.1,1050,194000,216000,EA Wales,Wales
4.241,23.7,9.2,3.6,,,,5.2,8.1,,,7.2,,2.5,Subadult,Female,1992,7,1120,194400,232200,EA Wales,Wales
5.083,34.6,65.7,4.7,,20,,75.2,99.7,,,44.6,,20.3,Adult,Female,1992,5.9,1045,242700,222200,EA Wales,Wales
4.986,507,449,13.9,,9.5,,29.2,41.1,4.2,,23.3,,15.4,Subadult,Male,1992,5.3,1020,313500,237700,EA Wales,Wales
5.651,854,610,8,,93.3,,258,416,20.4,,230,,20.3,Adult,Male,1992,8.4,1060,201000,200000,EA Wales,Wales
4.837,35.2,330,4.3,,47.9,,68.4,89.4,10.1,,38.9,,14.7,Adult,Female,1992,5.8,1070,397500,625000,North East Region,England
7.969,746,474,47.8,,83.4,,176,217,11.1,,91.7,,14.9,Adult,Female,1992,8.4,1000,257700,189600,EA Wales,Wales
5.376,69.1,83,52.6,,22,,52.9,84.1,12.2,,65.4,,7,Adult,Male,1992,7.1,1015,293000,186000,EA Wales,Wales
4.347,71,247,83.8,,85.6,,239,439,,,216,,31.2,Adult,Female,1992,8.3,1101,286400,205800,EA Wales,Wales
5.731,115,209,13.4,,14.1,,39.3,75.7,6.3,,41.1,,10.7,Subadult,Male,1993,7.3,1075,327200,292100,Midlands Region,Wales
5.181,93,137,51.4,,18.3,,39.3,50.7,,,36.3,,29.4,Adult,Male,1993,8.5,1063,478000,357000,Midlands Region,England
4.727,28.3,40.8,3.5,,3.8,,10.3,15.1,,,8.9,,5.8,Subadult,Female,1993,4.4,900,313000,222000,EA Wales,Wales
5.917,37,86.6,,,18.9,,52.7,94.1,3.8,,51.6,,8.4,Adult,Male,1993,9.2,1100,258000,338000,EA Wales,Wales
7.106,98.3,65.5,8.2,,11.1,,35.6,56.6,,,34.6,,8.8,Adult,Male,1993,6.6,1090,206000,235300,EA Wales,Wales
5.202,42.6,19.7,2.3,,,,18,26.8,3.2,,14.5,,8.1,Adult,Male,1993,4.5,970,195500,220100,EA Wales,Wales
5.171,48.4,90.2,5.4,,15.3,,47.4,84.5,5,,50.7,,11.4,Adult,Male,1993,5.3,990,287000,230000,EA Wales,Wales
5.519,531,647,39,,17.2,,51.9,50.7,5.6,,43.8,,12.3,Adult,Male,1993,7.2,1085,181100,208200,EA Wales,Wales
5.02,112,32.6,3.3,,14.9,,26.5,34.4,2.9,,19.3,,6,Adult,Female,1993,6.2,1000,199900,200900,EA Wales,Wales
5.668,496,202,42.4,,60.8,,92.2,140,,,83.7,,29.4,Adult,Male,1993,6,1020,237000,231000,EA Wales,Wales
5.847,42.6,35.5,4,,17.1,,57,76.8,,,77.4,,7.9,Adult,Female,1994,10,1150,242600,202800,EA Wales,Wales
6.543,39.1,142,13.9,,28.4,,42.6,71.7,6.5,,33.7,,10.9,Adult,Male,1994,3.9,910,620200,311700,Anglian Region,England
4.636,90.5,467,11.2,,105,,667,958,124,,631,,30.9,Adult,Male,1994,7.2,1230,258600,338600,EA Wales,Wales
